,shortcode,edge_media_preview_comment.count,edge_media_preview_like.count,edge_media_to_caption.edges
0,B8Qki3GggPB,0,0,[{'node': {'text': '#liwenliang #coronavirus'}}]
1,B8QjdYxhvLF,0,0,[{'node': {'text': '#liwenliang'}}]
2,B8QlVthh7QY,0,2,"[{'node': {'text': 'Dokter China yang pertama kali membongkar virus corona meninggal dunia. Li Wenliang, nama dokter itu terbukti positif mengidap virus tersebut, menurut pihak rumah sakit tempat ia bekerja.\n\nLi Wenliang menjadi pengungkap dan sempat ditegur otoritas Wuhan lantaran dianggap “menyebarkan rumor” soal virus corona sebelum resmi diakui.\n\nLi Wenliang, adalah seorang dokter mata di rumah sakit Wuhan, kota episentrum wabah virus corona. Ia merupakan satu dari delapan orang yang ditegur oleh Kepolisian Wuhan bulan lalu lantaran menyebarkan informasi “ilegal dan keliru” soal virus corona.Rumah sakit tempatnya bekerja menyebutkan melalui pernyataan di akun Weibo miliknya bahwa Li meninggal pukul 2:58 waktu setempat pada Jumat 7 Februari 2020.\n\nSelengkapnya | Nusadaily.com\nhttps://nusadaily.com/news/dokter-pengungkap-virus-corona-meninggal.html\n\n#coronavirus #corona #virusmematikan #viruscorona #liwenliang #wenliang #china #tiongkok #中国 #中国加油 #中国🇨🇳 #bahayacorona #dokter #meninggal #中国医生  #beritahariini #beritaterbaru #newstoday #chinanews #coronavirusnews #viralnews #viral'}}]"
3,B8Qoq_tlV53,0,1,[{'node': {'text': '#liwenliang Goodbye doctor!\nRIP'}}]
4,B8QihvYFOUx,8,796,"[{'node': {'text': '#LiWenliang, a medical doctor who warned the public about the deadly coronavirus, has died late last night due to the infection in #Beijing #China! (📸: Al Jazeera)'}}]"
5,B8Qk3Hegeq7,2,3,"[{'node': {'text': 'Лінь Веньян, китайський лікар, який дав раннє публічне попередження про коронавірус Уханя, помер від цієї хвороби.🙏🕯️ Попередження Лі в грудні про потенційний вірус, схожий на ГРВІ, зробило його мішенню для поліції Уханя, яка звинуватила його в нагнітанні чуток. Він був одним із кількох медиків, переслідуємих поліцією за те, що бив тривогу щодо вірусу на ранніх тижнях спалаху, через який зараз постраждали понад 28 000 людей і загинуло понад 560.\n#wuhan\n#liwenliang\n#rip\n#chinesecoronavirus\n#coronavirus\n#pandemic\n#коронавирус\n#жертвакоронавируса\n#линьвеньян\n#коронавірус\n#financoff\n#elviragavrilova\n#amillidius\n#prideofukraine\nLi Wenliang, the Chinese doctor who gave an early public warning about the Wuhan coronavirus has died of the illness🙏🕯️. Li’s warning in December about a potential “SARS-like” virus made him a target for Wuhan police, who accused him of rumor-mongering. He was one of several medics targeted by police for trying to sound the alarm on the virus in the early weeks of the outbreak, which has now sickened more than 28,000 people and killed more than 560.'}}]"
6,B8QmyN6g6xN,5,337,"[{'node': {'text': 'Li Wenliang, a medical doctor and one of eight people to first warn the public about the novel coronavirus, has died late last night due to the infection, sparking a level of collective anger and grief unseen on Chinese social media.\u2060\n.\u2060\nHailed as a national hero, Li was apprehended by Wuhan police for spreading ""rumours"" earlier last month.\u2060\n.\u2060\nHe had warned his classmates in a private WeChat message about a SARS-like virus spreading in Wuhan, the epicentre of the epidemic.\u2060\n.\u2060\nHe first came in contact with the virus after treating a glaucoma patient who at the time was not aware that he had already been infected with the deadly virus.\u2060\n.\u2060\nLi\'s death has further inflamed a nation already reeling from the outbreak that has so far killed at least 636 people and infected 31,161 others.\u2060\n.\u2060\nA former classmate of Li\'s wrote on the Weibo social media site: “The Wuhan government owes Dr. Li Wenliang an apology.”\u2060\n.\u2060\n💬 What do you think? Comment below.\u2060\n.\u2060\n🔗Tap the link in our bio for more. \u2060\n.\u2060\n#China #Wuhan #DrLi #Coronavirus #Health #AsiaPacific #CoronavirusOutbreak #DrLiWenliang #LiWenliang #Disease'}}]"
7,B8QlrArHmFq,1,5,[{'node': {'text': '纪念李文亮医生。 📷：薛珺/新京报\n\n#liwenliang #coronavirus'}}]
8,B8QjgWXpzs5,1,18,[{'node': {'text': 'O bir Doktor ve gerçek bir halk Kahramanı.Huzur içinde yat sevgili meslektaşım😥 #LiWenliang #coronavirus 他是一名醫生，也是一位真正的公共英雄，我的同事，和平安息😥＃李文亮＃冠狀病毒'}}]
9,B8QmAxVhLJa,0,2,[{'node': {'text': '如果你能看到这是一次呐喊 #不能不明白 #liwenliang'}}]
10,B8QoWwWB6eE,0,2,[{'node': {'text': '#liwenliang'}}]
11,B8QmB2In0NI,0,2,"[{'node': {'text': '我刚在小区里，对着太阳，我就开始跟李文亮医生说话，等我说完时太阳刚好从云层里露出来。我觉得他听到了。 - I was just walking outside and towards the sun I started talking and sending my prayers to Doctor #LiWenliang, when I finished the sun happened to come out of the clouds to shine on the land. I think he heard what I said. 永远记得您！'}}]"
12,B8Qk-d3q1vg,4,121,"[{'node': {'text': ""Salgını ilk duyuran doktorlardan biri hayatını kaybetti\n\nÇin'deki salgın nedeniyle hayatını kaybedenlerin sayısı 636'ya yükselirken, korona virüsünün kamuoyunda bilinmesini sağlayan doktorlardan biri olan Li Wenliang, virüsün yol açtığı enfeksiyon nedeniyle hayatını kaybetti.\n.\n.\n.\n⬛ Son dakika haberleri ve sosyal videolardan haberdar olmak için @ihacomtr sayfamızı takip edin.\n\n#Türkiye #TGRTHaber #İHA #TürkiyeGazetesi #Haber #Sondakika #Politika #news ##corona #virus #Çin #türkiye #coronavirus #fransa #japonya #singapur #abd #tayland #liwenliang #doktor""}}]"
13,B8QkDBspC_m,0,0,[{'node': {'text': 'R.I.P. 🙏#liwenliang \n#coronavirus #wuhan #China'}}]
14,B8QlNrho7_S,0,22,[{'node': {'text': '#pprnews #lille #coronavirus #liwenliang #wuhan #rip'}}]
15,B8P5bozAzI_,10,1020,"[{'node': {'text': '#LiWenliang fue censurado en #China por alertar al mundo sobre el coronavirus y tras varios rumores sobre su muerte, este día se confirmó su deceso tras haber dado positivo el pasado viernes en una prueba de la infección 🇨🇳 🦠 👨\u200d⚕️ #Internacional #Coronavirus #China #LiWenliang #news #Noticias #Actualidad'}}]"
